=== LAPORAN MAPPING M3U KE EPG ===
Total ID EPG unik yang berhasil dikumpulkan: 232
==================================

✅ COCOK | ID: beINSports | Nama TV: beIN Sports 1
❌ KOSONG | ID: SKY.Sport.5.nz | Nama TV: Sky Sport5 NZ FHD
❌ KOSONG | ID: SKY.Sport.6.nz | Nama TV: Sky Sport6 NZ FHD
❌ KOSONG | ID: SKY.Sport.7.nz | Nama TV: Sky Sport7 NZ FHD
❌ KOSONG | ID: SkySp.ActionHD.uk | Nama TV: SKY SPORTS ACTION
❌ KOSONG | ID: SkySp.ActionHD.uk | Nama TV: Sky Sports Action FHD
❌ KOSONG | ID: SkySpBoxOff.uk | Nama TV: Sky Sports Box Office
❌ KOSONG | ID: SkySpCricket.HD.uk | Nama TV: SKY SPORTS CRICKET
❌ KOSONG | ID: SkySp.Cricket.uk | Nama TV: Sky Sports Criket FHD
❌ KOSONG | ID: SkySp.PL.HD.uk | Nama TV: SKY SPORTS EPL
❌ KOSONG | ID: SkySp.F1.HD.uk | Nama TV: SKY SPORTS F1
❌ KOSONG | ID: SkySp.F1.HD.uk | Nama TV: Sky Sports F1 FHD
❌ KOSONG | ID: SkySp.Fball.HD.uk | Nama TV: SKY SPORTS FOOTBALL
❌ KOSONG | ID: SkySp.Fball.HD.uk | Nama TV: Sky Sports Football FHD
❌ KOSONG | ID: SkySp.Golf.HD.uk | Nama TV: SKY SPORTS GOLF
❌ KOSONG | ID: SkySp.Golf.HD.uk | Nama TV: Sky Sports Golf FHD
❌ KOSONG | ID: SkySpMainEvHD.uk | Nama TV: SKY SPORTS MAIN EVENT
❌ KOSONG | ID: SkySpMainEvHD.uk | Nama TV: Sky Sports Main Event FHD
❌ KOSONG | ID: SkySp.Mix.HD.uk | Nama TV: SKY SPORTS MIX
❌ KOSONG | ID: SkySp.PL.HD.uk | Nama TV: Sky Sports PremierLeague FHD
❌ KOSONG | ID: SkySp.Racing.HD.uk | Nama TV: SKY SPORTS RACING
❌ KOSONG | ID: SkySp.Tennis.HD.uk | Nama TV: SKY SPORTS TENNIS
❌ KOSONG | ID: SkySp.Tennis.HD.uk | Nama TV: Sky Sports Tennis FHD
❌ KOSONG | ID: SkySp+.uk | Nama TV: Sky Sports+ FHD
❌ KOSONG | ID: TNT SPORT 1 (dari nama channel) | Nama TV: TNT SPORT 1
❌ KOSONG | ID: TNT SPORT 2 (dari nama channel) | Nama TV: TNT SPORT 2
❌ KOSONG | ID: TNT SPORT 3 (dari nama channel) | Nama TV: TNT SPORT 3
❌ KOSONG | ID: TNT SPORT 4 (dari nama channel) | Nama TV: TNT SPORT 4
❌ KOSONG | ID: TNT SPORTS 1 (dari nama channel) | Nama TV: TNT SPORTS 1
❌ KOSONG | ID: TNT SPORTS 2 (dari nama channel) | Nama TV: TNT SPORTS 2
❌ KOSONG | ID: TNT SPORTS 3 (dari nama channel) | Nama TV: TNT SPORTS 3
❌ KOSONG | ID: TNT SPORTS 4 (dari nama channel) | Nama TV: TNT SPORTS 4
❌ KOSONG | ID: 7636 | Nama TV: ARENA SPORT 2 PREMIUM ᴴᴰ (SR)
❌ KOSONG | ID: TNT Sport 4 🇬🇧 (dari nama channel) | Nama TV: TNT Sport 4 🇬🇧
❌ KOSONG | ID: TNT SPORTS 1 (dari nama channel) | Nama TV: TNT SPORTS 1
❌ KOSONG | ID: TNT SPORTS 2 (dari nama channel) | Nama TV: TNT SPORTS 2
❌ KOSONG | ID: TNT SPORTS 3 (dari nama channel) | Nama TV: TNT SPORTS 3
❌ KOSONG | ID: TNT SPORTS 4 (dari nama channel) | Nama TV: TNT SPORTS 4
❌ KOSONG | ID: TNT SPORTS 5 (dari nama channel) | Nama TV: TNT SPORTS 5
❌ KOSONG | ID: PREMIER SPORT 1 (dari nama channel) | Nama TV: PREMIER SPORT 1
❌ KOSONG | ID: PREMIER SPORT 2 (dari nama channel) | Nama TV: PREMIER SPORT 2
❌ KOSONG | ID: PREMIER SPORTS (dari nama channel) | Nama TV: PREMIER SPORTS
❌ KOSONG | ID: Cinema Premieren (dari nama channel) | Nama TV: Cinema Premieren
❌ KOSONG | ID: Peacock Premier League (dari nama channel) | Nama TV: Peacock Premier League
❌ KOSONG | ID: SS Premier League UK (dari nama channel) | Nama TV: SS Premier League UK
❌ KOSONG | ID: ASTRO PREMIER LEAGUE (dari nama channel) | Nama TV: ASTRO PREMIER LEAGUE
❌ KOSONG | ID: ASTRO PREMIER LEAGUE 2 (dari nama channel) | Nama TV: ASTRO PREMIER LEAGUE 2
❌ KOSONG | ID: ASTRO PREMIER LEAGUE (dari nama channel) | Nama TV: ASTRO PREMIER LEAGUE
❌ KOSONG | ID: ASTRO PREMIER LEAGUE 2 (dari nama channel) | Nama TV: ASTRO PREMIER LEAGUE 2
❌ KOSONG | ID: HUB PREMIER 1 (dari nama channel) | Nama TV: HUB PREMIER 1
❌ KOSONG | ID: HUB PREMIER 10 (dari nama channel) | Nama TV: HUB PREMIER 10
❌ KOSONG | ID: HUB PREMIER 11 (dari nama channel) | Nama TV: HUB PREMIER 11
❌ KOSONG | ID: HUB PREMIER 2 (dari nama channel) | Nama TV: HUB PREMIER 2
❌ KOSONG | ID: HUB PREMIER 3 (dari nama channel) | Nama TV: HUB PREMIER 3
❌ KOSONG | ID: HUB PREMIER 4 (dari nama channel) | Nama TV: HUB PREMIER 4
❌ KOSONG | ID: Hub.Premier.4.sg | Nama TV: Hub Premier 4 HD
❌ KOSONG | ID: HUB PREMIER 5 (dari nama channel) | Nama TV: HUB PREMIER 5
❌ KOSONG | ID: Hub.Premier.5.sg | Nama TV: Hub Premier 5 HD
❌ KOSONG | ID: HUB PREMIER 6 (dari nama channel) | Nama TV: HUB PREMIER 6
❌ KOSONG | ID: Hub.Premier.6.sg | Nama TV: Hub Premier 6 HD
